collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024131482785,2024,131482785,1,1,1,1,36,7,3,0,0,0,0,0,1,2,E01010993,3,1,0.0,1.0,1
2024131450924,2024,131450924,2,1,1,1,59,9,3,0,0,0,0,0,9,2,E01011043,3,1,0.0,1.0,3
2024131398188,2024,131398188,2,4,2,2,7,2,3,0,0,2,0,0,9,9,E01011278,3,1,0.0,1.0,3
2024131517922,2024,131517922,1,1,3,1,28,6,3,5,1,0,0,-1,0,5,E01011065,3,1,0.0,1.0,1
2024131517099,2024,131517099,1,1,2,1,25,5,3,0,0,1,0,0,9,1,E01011025,3,1,0.0,1.0,3
2024131461487,2024,131461487,1,1,3,2,35,6,1,10,9,0,0,-1,0,1,E01011492,1,1,0.0,0.0,1
2024131439601,2024,131439601,1,1,3,2,51,8,3,5,3,0,0,-1,0,1,E01011080,3,1,0.0,1.0,1
2024131516397,2024,131516397,2,1,1,1,35,6,3,0,0,0,0,0,9,3,E01011920,3,1,0.0,1.0,1
2024131472816,2024,131472816,2,1,1,1,61,9,2,0,0,0,0,0,1,2,E01010930,7,1,1.0,0.0,1
2024131470106,2024,131470106,1,1,3,1,35,6,3,1,1,0,0,-1,0,1,E01011677,3,1,0.0,1.0,1
2024131501585,2024,131501585,2,1,1,1,32,6,3,0,0,0,0,0,5,2,E01010869,3,1,0.0,1.0,1
2024131484766,2024,131484766,2,1,1,2,39,7,3,0,0,0,0,0,9,7,E01011383,3,1,0.0,1.0,3
2024131515984,2024,131515984,1,1,2,2,71,10,3,0,0,0,0,0,9,10,E01010772,3,1,0.0,1.0,1
2024131480835,2024,131480835,2,1,1,1,33,6,3,0,0,0,0,0,1,-1,-1,3,1,0.0,1.0,-1
2024131451369,2024,131451369,1,1,1,1,41,7,2,0,0,0,0,0,9,2,E01033013,7,1,1.0,0.0,1
2024131399664,2024,131399664,1,1,1,1,60,9,3,0,0,0,0,0,9,3,E01007374,3,1,0.0,1.0,3
2024131534944,2024,131534944,1,2,2,1,20,4,3,0,0,1,0,0,9,2,E01009044,3,1,0.0,1.0,5
2024131440752,2024,131440752,2,4,2,2,53,8,3,0,0,0,0,0,9,-1,-1,3,1,0.0,1.0,-1
2024131528082,2024,131528082,1,1,3,1,14,3,3,10,9,0,0,-1,0,1,E01010874,3,1,0.0,1.0,1
2024131535565,2024,131535565,1,1,1,2,33,6,2,0,0,0,0,0,-1,2,E01032923,7,1,1.0,0.0,1
2024131495359,2024,131495359,1,1,1,2,22,5,3,0,0,0,0,0,9,1,E01011284,3,1,0.0,1.0,3
2024131534961,2024,131534961,1,2,1,1,46,8,3,0,0,0,0,0,9,3,E01010669,3,1,0.0,1.0,2
2024131487810,2024,131487810,2,1,1,1,65,9,3,0,0,0,0,0,1,8,E01011773,3,1,0.0,1.0,2
2024131494067,2024,131494067,1,1,3,1,28,6,3,8,7,0,0,-1,0,7,E01010785,3,1,0.0,1.0,1
2024131480630,2024,131480630,1,1,1,1,76,11,3,0,0,0,0,0,9,3,E01010959,3,1,0.0,1.0,1
2024131492428,2024,131492428,2,1,1,1,77,11,3,0,0,0,0,0,9,6,E01011070,3,1,0.0,1.0,2
2024131424756,2024,131424756,1,1,1,1,45,7,3,0,0,0,0,0,9,1,E01010743,3,1,0.0,1.0,4
2024131528473,2024,131528473,3,1,1,2,47,8,3,0,0,0,0,0,9,1,E01011747,3,1,0.0,1.0,1
2024131479608,2024,131479608,1,3,2,2,66,10,2,0,0,1,0,0,9,2,E01012459,6,1,1.0,0.0,4
2024131505270,2024,131505270,1,1,1,2,34,6,2,0,0,0,0,0,90,2,E01011103,7,1,1.0,0.0,1
2024131524252,2024,131524252,3,1,1,2,24,5,3,0,0,0,0,0,9,4,E01011114,3,1,0.0,1.0,2
2024131528384,2024,131528384,2,1,1,2,53,8,3,0,0,0,0,0,9,5,E01011836,3,1,0.0,1.0,2
2024131520809,2024,131520809,1,1,3,1,45,7,3,5,1,0,0,-1,0,5,E01033695,3,1,0.0,1.0,1
2024131502372,2024,131502372,1,1,1,1,27,6,3,0,0,0,0,0,9,3,E01011323,3,1,0.0,1.0,4
2024131408598,2024,131408598,1,1,1,1,51,8,3,0,0,0,0,0,3,1,E01010730,3,1,0.0,1.0,3
2024131484889,2024,131484889,2,1,1,1,17,4,2,0,0,0,0,0,1,1,E01010826,7,1,1.0,0.0,1
2024131526220,2024,131526220,2,1,1,2,49,8,3,0,0,0,0,0,9,9,E01011566,3,1,0.0,1.0,2
2024131519995,2024,131519995,2,2,2,2,50,8,2,0,0,1,0,0,9,4,E01011077,5,1,1.0,0.0,1
2024131450830,2024,131450830,1,1,1,1,67,10,2,0,0,0,0,0,3,1,E01011345,7,1,1.0,0.0,1
2024131430254,2024,131430254,1,2,2,1,14,3,3,0,0,2,0,0,9,2,E01011594,3,1,0.0,1.0,2
2024131462785,2024,131462785,2,1,1,1,62,9,2,0,0,0,0,0,9,1,E01011850,7,1,1.0,0.0,1
2024131462810,2024,131462810,2,1,1,1,52,8,3,0,0,0,0,0,9,4,E01011801,3,1,0.0,1.0,1
2024131512329,2024,131512329,2,1,1,1,41,7,2,0,0,0,0,0,9,3,E01033002,7,1,1.0,0.0,1
2024131520845,2024,131520845,2,1,1,1,23,5,3,0,0,0,0,0,9,3,E01010846,3,1,0.0,1.0,4
2024131505565,2024,131505565,1,1,3,1,46,8,3,5,3,0,0,-1,0,10,E01011516,3,1,0.0,1.0,2
2024131490601,2024,131490601,2,1,1,1,24,5,3,0,0,0,0,0,1,2,E01011024,3,1,0.0,1.0,1
2024131521394,2024,131521394,2,2,2,1,28,6,3,0,0,1,0,0,9,4,E01011834,3,1,0.0,1.0,1
2024131491083,2024,131491083,1,1,3,1,46,8,3,4,3,0,0,-1,0,1,E01010838,3,1,0.0,1.0,1
2024131418793,2024,131418793,1,1,1,1,73,10,3,0,0,0,0,0,9,1,E01011472,3,1,0.0,1.0,1
2024131436221,2024,131436221,2,1,1,1,-1,-1,3,0,0,0,0,0,1,1,E01011433,3,1,0.0,1.0,1
2024131458754,2024,131458754,1,1,1,1,63,9,2,0,0,0,0,0,5,5,E01011058,5,1,1.0,0.0,1
2024131439568,2024,131439568,2,2,1,1,64,9,3,0,0,0,0,0,9,2,E01019565,3,1,0.0,1.0,4
2024131431307,2024,131431307,2,6,2,1,15,3,3,0,0,0,0,0,10,3,E01008649,3,1,0.0,1.0,5
2024131420215,2024,131420215,1,1,2,1,14,3,3,0,0,2,0,0,9,1,E01033035,3,1,0.0,1.0,1
2024131512840,2024,131512840,2,2,2,1,40,7,3,0,0,1,0,0,9,3,E01010959,3,1,0.0,1.0,1
2024131533634,2024,131533634,1,1,1,2,25,5,3,0,0,0,0,0,9,6,E01010634,3,1,0.0,1.0,4
2024131503209,2024,131503209,2,2,1,1,29,6,3,0,0,0,0,0,9,1,E01011107,3,1,0.0,1.0,1
2024131472932,2024,131472932,1,3,2,2,20,4,3,0,0,1,0,0,9,2,E01011061,3,1,0.0,1.0,1
