collision_index,collision_year,collision_ref_no,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane_historic,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,generic_make_model,driver_imd_decile,lsoa_of_driver,escooter_flag,driver_distance_banding
2024131505106,2024,131505106,1,98,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131531208,2024,131531208,2,1,0,-1,19,7,3,-1,0,1,0,0,0,0,1,1,-1,6,1,14,3,-1,-1,-1,-1,7,E01011630,0,1
2024131412179,2024,131412179,2,1,0,-1,19,7,3,-1,0,1,0,0,0,0,1,1,-1,2,1,56,9,-1,-1,-1,-1,1,E01011617,0,1
2024131451058,2024,131451058,1,-1,0,-1,19,3,7,-1,0,0,5,0,0,0,0,1,-1,9,1,39,7,-1,-1,-1,-1,1,E01011467,1,1
2024131436444,2024,131436444,1,9,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131460538,2024,131460538,1,3,0,-1,19,6,2,-1,0,8,2,0,0,0,4,1,-1,9,1,23,5,-1,-1,-1,-1,2,E01011914,0,1
2024131500237,2024,131500237,1,9,0,-1,9,1,3,-1,0,5,0,0,0,0,3,1,-1,6,3,40,7,-1,-1,-1,-1,-1,-1,0,-1
2024131554725,2024,131554725,2,-1,0,-1,9,8,6,-1,0,4,0,0,0,0,1,1,-1,2,2,36,7,-1,-1,-1,-1,1,E01011344,1,1
2024131402835,2024,131402835,2,1,0,-1,19,8,6,-1,4,1,0,0,0,0,1,1,-1,2,1,21,5,-1,-1,-1,-1,4,E01011462,0,1
2024131525621,2024,131525621,2,23,0,-1,7,3,1,-1,0,1,0,0,0,0,-1,1,-1,6,1,-1,-1,-1,-1,-1,-1,1,E01011342,0,1
2024131413597,2024,131413597,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131533798,2024,131533798,1,9,0,-1,4,6,2,-1,0,1,0,0,0,0,2,1,-1,1,1,60,9,-1,-1,-1,-1,7,E01011550,0,2
2024131410984,2024,131410984,2,1,0,-1,19,5,1,-1,0,8,5,0,0,0,3,1,-1,6,1,16,4,-1,-1,-1,-1,7,E01011878,0,1
2024131472792,2024,131472792,1,9,0,-1,19,7,3,-1,0,1,0,0,0,0,1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131516335,2024,131516335,2,90,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131491338,2024,131491338,1,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131428869,2024,131428869,2,8,0,-1,19,1,5,-1,0,2,0,10,1,10,4,1,-1,1,1,54,8,-1,-1,-1,-1,1,E01011082,0,1
2024131513713,2024,131513713,1,97,0,-1,19,1,5,-1,0,8,5,0,0,0,1,1,-1,6,1,17,4,-1,-1,-1,-1,1,E01011494,0,1
2024131495211,2024,131495211,2,1,0,-1,19,1,5,-1,0,1,5,0,0,0,1,1,-1,6,1,38,7,-1,-1,-1,-1,2,E01011724,0,1
2024131469563,2024,131469563,3,9,0,-1,19,5,1,-1,0,0,0,0,0,0,2,1,-1,1,1,31,6,-1,-1,-1,-1,10,E01034975,0,4
2024131481543,2024,131481543,1,9,0,-1,19,5,1,-1,0,8,0,0,8,0,1,2,-1,1,1,23,5,-1,-1,-1,-1,9,E01011939,0,4
2024131437373,2024,131437373,2,23,0,-1,19,7,3,-1,0,0,0,0,0,0,1,1,-1,6,1,30,6,-1,-1,-1,-1,2,E01011139,0,1
2024131459198,2024,131459198,1,23,0,-1,19,2,6,-1,0,0,1,10,0,0,4,1,-1,9,1,26,6,-1,-1,-1,-1,2,E01011220,0,1
2024131484703,2024,131484703,3,9,0,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,0,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131486908,2024,131486908,2,1,0,-1,19,4,8,-1,0,1,0,0,0,0,1,1,-1,9,1,33,6,-1,-1,-1,-1,10,E01013371,0,4
2024131498529,2024,131498529,1,1,0,-1,19,3,7,-1,9,0,1,0,0,0,1,1,-1,1,1,18,4,-1,-1,-1,-1,3,E01010602,0,1
2024131415719,2024,131415719,1,9,0,-1,1,4,3,-1,0,0,0,0,0,0,2,1,-1,6,3,43,7,-1,-1,-1,-1,-1,-1,0,-1
2024131443644,2024,131443644,1,21,0,-1,19,3,7,-1,0,0,0,0,0,0,1,2,-1,1,2,29,6,-1,-1,-1,-1,-1,-1,0,-1
2024131526323,2024,131526323,1,9,0,-1,19,7,3,-1,0,0,0,0,0,0,1,1,-1,2,1,32,6,-1,-1,-1,-1,2,E01010628,0,4
2024131436717,2024,131436717,1,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131501347,2024,131501347,3,9,0,-1,2,0,0,-1,9,1,0,0,0,0,3,1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131529740,2024,131529740,2,11,0,-1,19,8,6,-1,0,0,0,0,0,0,1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131484909,2024,131484909,1,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131473070,2024,131473070,2,22,0,-1,19,7,3,-1,0,8,5,0,0,0,0,1,-1,9,2,79,11,-1,-1,-1,-1,2,E01010717,0,1
2024131403024,2024,131403024,1,97,0,-1,19,7,3,-1,0,1,5,0,0,0,1,1,-1,6,1,24,5,-1,-1,-1,-1,1,E01011336,0,1
2024131458908,2024,131458908,2,1,0,-1,4,1,5,-1,0,1,0,0,0,0,1,1,-1,6,1,22,5,-1,-1,-1,-1,3,E01011908,0,1
2024131476159,2024,131476159,2,9,0,-1,19,1,5,-1,0,8,0,0,0,0,4,1,-1,9,1,84,11,-1,-1,-1,-1,7,E01010876,0,1
2024131470233,2024,131470233,3,9,0,-1,2,0,0,-1,0,8,0,0,0,0,2,1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131528082,2024,131528082,1,9,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131474060,2024,131474060,1,9,0,-1,-1,-1,-1,-1,9,8,0,0,-1,0,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
2024131478891,2024,131478891,2,1,0,-1,19,5,1,-1,1,0,5,0,0,0,1,1,-1,9,1,7,2,-1,-1,-1,-1,2,E01010929,0,1
2024131515241,2024,131515241,1,98,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
